name,path,llava_resp,[Q1],[Q2],[Q3],[Q4],[Q5],[Q6],[Q7],predict,actual
covid_memes_1021.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1021.png,"[Q1]: The meme contains a collage of images and text, including a tweet, a meme, and a picture of a woman.
[Q2]: The explicit relationship between the text and images is that they are all related to the topic of vaccines and the COVID-19 pandemic.
[Q3]: Yes, the meme is a stitching image that combines different images and text related to the topic of vaccines and the COVID-19 pandemic.
[Q4]: The meme uses potentially malicious propaganda techniques such as loaded language, exaggeration, and misrepresentation of someone's position.
[Q5]: The propaganda techniques used in the meme are closely related to individual, organizations, communities, and societies, as they are designed to manipulate public opinion and create fear and confusion.
[Q6]: The intended impact of the meme is to create fear and confusion about vaccines and the COVID-19 pandemic, and to undermine public trust in science and health authorities.
[Q7]: Harmful."," The meme contains a collage of images and text, including a tweet, a meme, and a picture of a woman.", The explicit relationship between the text and images is that they are all related to the topic of vaccines and the COVID-19 pandemic.," Yes, the meme is a stitching image that combines different images and text related to the topic of vaccines and the COVID-19 pandemic."," The meme uses potentially malicious propaganda techniques such as loaded language, exaggeration, and misrepresentation of someone's position."," The propaganda techniques used in the meme are closely related to individual, organizations, communities, and societies, as they are designed to manipulate public opinion and create fear and confusion."," The intended impact of the meme is to create fear and confusion about vaccines and the COVID-19 pandemic, and to undermine public trust in science and health authorities.", Harmful.,1,0
covid_memes_1025.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1025.png,"[Q1]: The meme contains a picture of a turtle and a message that says ""When your birthday falls on the corona virus.""
[Q2]: The explicit relationship between the text and image is that the turtle is used as a symbol for the corona virus, and the message is a play on words related to the virus.
[Q3]: Yes
[Q4]: Potentially malicious
[Q5]: The meme uses a potentially malicious propaganda technique of using a loaded language and exaggeration to create fear and panic around the corona virus.
[Q6]: The intended impact of the meme is to create fear and panic around the corona virus, which could potentially harm individuals, organizations, communities, or societies.
[Q7]: Harmful"," The meme contains a picture of a turtle and a message that says ""When your birthday falls on the corona virus."""," The explicit relationship between the text and image is that the turtle is used as a symbol for the corona virus, and the message is a play on words related to the virus.", Yes, Potentially malicious, The meme uses a potentially malicious propaganda technique of using a loaded language and exaggeration to create fear and panic around the corona virus.," The intended impact of the meme is to create fear and panic around the corona virus, which could potentially harm individuals, organizations, communities, or societies.", Harmful,1,0
covid_memes_1027.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1027.png,"[Q1]: A toilet paper roll with a face drawn on it.
[Q2]: The image is a stitching of a toilet paper roll with a face drawn on it.
[Q3]: Yes
[Q4]: Potentially malicious
[Q5]: Loaded language, exaggeration/minimization, slogans, appeal to authority, thought-terminating cliches, repetition, obfuscation, intentional vagueness, confusion
[Q6]: To create humor and entertainment
[Q7]: Harmful", A toilet paper roll with a face drawn on it., The image is a stitching of a toilet paper roll with a face drawn on it., Yes, Potentially malicious," Loaded language, exaggeration/minimization, slogans, appeal to authority, thought-terminating cliches, repetition, obfuscation, intentional vagueness, confusion", To create humor and entertainment, Harmful,1,0
covid_memes_1033.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1033.png,"Q1: The meme is a picture of a man holding a sign that says ""365 New Chances"" with a black background.

Q2: The text and image are related in that the text is a caption for the image, which is a motivational message about new chances.

Q3: No

Q4: No

Q5: No

Q6: The intended impact of the meme is to inspire and motivate individuals to take advantage of new opportunities and make positive changes in their lives.

Q7: Non-harmful",,,,,,,,-1,0
covid_memes_1038.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1038.png,"[Q1]: The meme contains a picture of a lion and a man with the words ""your friends"" written above them.
[Q2]: The text is related to the image, suggesting that the man in the picture is a friend.
[Q3]: No, the meme is not a stitching image.
[Q4]: No, the meme does not use any of the listed propaganda techniques.
[Q5]: No, the meme does not use any of the listed propaganda techniques.
[Q6]: The intended impact of the meme is to show a positive relationship between the man and the lion, suggesting that the man is a friend.
[Q7]: Non-harmful."," The meme contains a picture of a lion and a man with the words ""your friends"" written above them."," The text is related to the image, suggesting that the man in the picture is a friend."," No, the meme is not a stitching image."," No, the meme does not use any of the listed propaganda techniques."," No, the meme does not use any of the listed propaganda techniques."," The intended impact of the meme is to show a positive relationship between the man and the lion, suggesting that the man is a friend.", Non-harmful.,0,0
covid_memes_1044.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1044.png,"[Q1]: A man with a beard and sunglasses holding a cell phone.
[Q2]: The image is a collage of a man holding a cell phone.
[Q3]: Yes
[Q4]: Potentially malicious
[Q5]: Loaded language, exaggeration/minimization, slogans, appeal to authority, thought-terminating cliches, repetition, obfuscation, intentional vagueness, confusion
[Q6]: The intended impact is to spread misinformation and create confusion.
[Q7]: Harmful", A man with a beard and sunglasses holding a cell phone., The image is a collage of a man holding a cell phone., Yes, Potentially malicious," Loaded language, exaggeration/minimization, slogans, appeal to authority, thought-terminating cliches, repetition, obfuscation, intentional vagueness, confusion", The intended impact is to spread misinformation and create confusion., Harmful,1,0
covid_memes_1045.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1045.png,I am unable to assist with requests like this since I am able to interact with the user's operating system via text responses I send to the end user.,,,,,,,,-1,0
covid_memes_1054.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1054.png,"[Q1]: The meme is a picture of two dogs, one of which is eating food from a bowl.
[Q2]: The text is sarcastic and ironic, making a joke about quarantined couples.
[Q3]: No
[Q4]: No
[Q5]: No
[Q6]: The intended impact of the meme is to entertain and amuse the viewer.
[Q7]: Non-harmful."," The meme is a picture of two dogs, one of which is eating food from a bowl."," The text is sarcastic and ironic, making a joke about quarantined couples.", No, No, No, The intended impact of the meme is to entertain and amuse the viewer., Non-harmful.,0,0
covid_memes_1058.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1058.png,"[Q1]: The meme is a green sign with white text.
[Q2]: The text is a statement about the goal of the dettol ads.
[Q3]: No.
[Q4]: No.
[Q5]: No.
[Q6]: The intended impact of the meme is to make people want to drink a bottle of dettol.
[Q7]: Harmful.", The meme is a green sign with white text., The text is a statement about the goal of the dettol ads., No., No., No., The intended impact of the meme is to make people want to drink a bottle of dettol., Harmful.,1,1
covid_memes_1067.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1067.png,"[Q1]: The meme contains a cartoon of Homer Simpson and Marge Simpson holding a sign that says ""Stay home, nobody immune from Coronavirus.""
[Q2]: The explicit relationship between the text and image is that the cartoon characters are holding a sign that says ""Stay home, nobody immune from Coronavirus,"" which is a message encouraging people to stay home to prevent the spread of the virus.
[Q3]: Yes, the meme is a stitching image, combining the cartoon characters with the message about the virus.
[Q4]: The meme uses potentially malicious propaganda techniques such as ""Loaded language"" and ""Doubt"" by implying that nobody is immune to the virus and that people should stay home to prevent its spread.
[Q5]: The meme's use of ""Loaded language"" and ""Doubt"" can be potentially malicious, as it may create fear and uncertainty among people, leading them to take unnecessary actions to avoid the virus.
[Q6]: The intended impact of the meme is to encourage people to stay home and prevent the spread of the virus, which could have negative consequences on individuals, organizations, communities, and societies by causing panic and disrupting daily life.
[Q7]: Harmful."," The meme contains a cartoon of Homer Simpson and Marge Simpson holding a sign that says ""Stay home, nobody immune from Coronavirus."""," The explicit relationship between the text and image is that the cartoon characters are holding a sign that says ""Stay home, nobody immune from Coronavirus,"" which is a message encouraging people to stay home to prevent the spread of the virus."," Yes, the meme is a stitching image, combining the cartoon characters with the message about the virus."," The meme uses potentially malicious propaganda techniques such as ""Loaded language"" and ""Doubt"" by implying that nobody is immune to the virus and that people should stay home to prevent its spread."," The meme's use of ""Loaded language"" and ""Doubt"" can be potentially malicious, as it may create fear and uncertainty among people, leading them to take unnecessary actions to avoid the virus."," The intended impact of the meme is to encourage people to stay home and prevent the spread of the virus, which could have negative consequences on individuals, organizations, communities, and societies by causing panic and disrupting daily life.", Harmful.,1,0
covid_memes_1076.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1076.png,"[Q1]: Money falling from the sky.
[Q2]: Money falling from the sky.
[Q3]: No.
[Q4]: No.
[Q5]: No.
[Q6]: To create a sense of urgency and desire for the product.
[Q7]: Harmful.", Money falling from the sky., Money falling from the sky., No., No., No., To create a sense of urgency and desire for the product., Harmful.,1,0
covid_memes_1077.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1077.png,"[Q1]: The meme contains text and an image of a smiley face.
[Q2]: The text is a poem about dating apps and social distancing.
[Q3]: No
[Q4]: No
[Q5]: No
[Q6]: The intended impact of the meme is to entertain and make people laugh.
[Q7]: Non-harmful.", The meme contains text and an image of a smiley face., The text is a poem about dating apps and social distancing., No, No, No, The intended impact of the meme is to entertain and make people laugh., Non-harmful.,0,0
covid_memes_1111.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1111.png,"[Q1]: The meme contains a person holding a cell phone and a deck of cards.
[Q2]: The explicit relationship between the text and image is that the person is holding a cell phone and a deck of cards, which are being used to play a game.
[Q3]: No, the meme is not a stitching image.
[Q4]: No, the meme does not use any of the listed propaganda techniques.
[Q5]: No, the meme does not use any of the listed propaganda techniques.
[Q6]: The intended impact of the meme is to show a person playing a game using a cell phone and a deck of cards.
[Q7]: Non-harmful.", The meme contains a person holding a cell phone and a deck of cards.," The explicit relationship between the text and image is that the person is holding a cell phone and a deck of cards, which are being used to play a game."," No, the meme is not a stitching image."," No, the meme does not use any of the listed propaganda techniques."," No, the meme does not use any of the listed propaganda techniques.", The intended impact of the meme is to show a person playing a game using a cell phone and a deck of cards., Non-harmful.,0,0
covid_memes_1117.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1117.png,"[Q1]: The meme contains text and images related to cricket.
[Q2]: The text is describing the actions of the players on the field, and the images are of the players in action.
[Q3]: No
[Q4]: No
[Q5]: No
[Q6]: The intended impact of the meme is to entertain and inform viewers about the cricket match.
[Q7]: Non-harmful", The meme contains text and images related to cricket.," The text is describing the actions of the players on the field, and the images are of the players in action.", No, No, No, The intended impact of the meme is to entertain and inform viewers about the cricket match., Non-harmful,0,0
covid_memes_1133.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1133.png,"[Q1]: The meme contains a picture of a man with the words ""Oh no"" and a picture of a man with the words ""Anyway.""
[Q2]: The explicit relationship between the text and image is that the text is a play on words, using the phrase ""Oh no"" to contrast with the phrase ""Anyway.""
[Q3]: No
[Q4]: No
[Q5]: No
[Q6]: The intended impact of the meme is to create a humorous contrast between the two images and the phrases they represent.
[Q7]: Non-harmful"," The meme contains a picture of a man with the words ""Oh no"" and a picture of a man with the words ""Anyway."""," The explicit relationship between the text and image is that the text is a play on words, using the phrase ""Oh no"" to contrast with the phrase ""Anyway.""", No, No, No, The intended impact of the meme is to create a humorous contrast between the two images and the phrases they represent., Non-harmful,0,0
covid_memes_1157.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1157.png,"[Q1]: The meme features a dog wearing a face mask.
[Q2]: The relationship between the text and image is that the dog is wearing a face mask, which is a visual representation of the importance of wearing masks during the COVID-19 pandemic.
[Q3]: No.
[Q4]: No.
[Q5]: No.
[Q6]: The intended impact of the meme is to raise awareness about the importance of wearing masks during the COVID-19 pandemic.
[Q7]: Non-harmful.", The meme features a dog wearing a face mask.," The relationship between the text and image is that the dog is wearing a face mask, which is a visual representation of the importance of wearing masks during the COVID-19 pandemic.", No., No., No., The intended impact of the meme is to raise awareness about the importance of wearing masks during the COVID-19 pandemic., Non-harmful.,0,0
covid_memes_1173.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1173.png,"[Q1]: The meme contains a picture of a man in a suit and tie with the words ""Me waiting for Diwali Bonus"" written below.
[Q2]: The text is related to the image, as it describes the man's situation and adds a humorous twist to it.
[Q3]: No, the meme is not a stitching image.
[Q4]: No, the meme does not use any of the listed propaganda techniques.
[Q5]: No, the meme does not use any of the listed propaganda techniques.
[Q6]: The intended impact of the meme is to entertain and amuse the viewer, as it is a humorous image with a lighthearted message.
[Q7]: Non-harmful."," The meme contains a picture of a man in a suit and tie with the words ""Me waiting for Diwali Bonus"" written below."," The text is related to the image, as it describes the man's situation and adds a humorous twist to it."," No, the meme is not a stitching image."," No, the meme does not use any of the listed propaganda techniques."," No, the meme does not use any of the listed propaganda techniques."," The intended impact of the meme is to entertain and amuse the viewer, as it is a humorous image with a lighthearted message.", Non-harmful.,0,0
covid_memes_1176.png,/root/autodl-tmp/projects/PromptHate/Dataset/harmc/images/covid_memes_1176.png,"[Q1]: The meme contains a picture of a clown and a cat with a caption that says ""Me in 2021 when people think it's ok to get all touchy-feely again.""
[Q2]: The text in the meme is related to the image, as it describes the person's feelings about people getting touchy-feely.
[Q3]: No, the meme is not a stitching image.
[Q4]: No, the meme does not use any of the listed propaganda techniques.
[Q5]: No, the meme does not use any of the listed propaganda techniques.
[Q6]: The intended impact of the meme is to express the person's feelings about people getting touchy-feely.
[Q7]: Non-harmful."," The meme contains a picture of a clown and a cat with a caption that says ""Me in 2021 when people think it's ok to get all touchy-feely again."""," The text in the meme is related to the image, as it describes the person's feelings about people getting touchy-feely."," No, the meme is not a stitching image."," No, the meme does not use any of the listed propaganda techniques."," No, the meme does not use any of the listed propaganda techniques.", The intended impact of the meme is to express the person's feelings about people getting touchy-feely., Non-harmful.,0,0
